State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
District of Columbia,1373225,194577,237755,1104093,156443,1061760,183829,540565,76.6,513527,88.9,446165,63.2,427028,73.9,788325,522200,62700,0,32227,405214,666195,457,160134,249749,35964,318,160066,230722,35943,297,414324,76.6,513527,88.9,58.7,395206,68.4,540565,88552,99.9,75703,86.7,40438,32592,2602,71,214797,245924,1572220,539955,88.6,446110,73.2,160127,249708,35961,314,1103983,181054,225210,48106,10.8,48044,11.3,31418,18.8,21710,28.7,16997,30868,236,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,5704880,N/A,N/A,6392642,N/A,6075435,N/A,3496025,N/A,3324169,N/A,2705701,N/A,2568646,N/A,3549300,1951280,204300,0,282887,2185982,3904752,19021,867559,1588727,249297,118,867393,1452027,249108,118,2457035,N/A,3324169,N/A,0,2320167,0,3496025,280045,0,163605,0,56370,99329,7906,0,486533,0,0,3495561,0,2705625,0,867542,1588691,249274,118,6392112,0,0,695,0,693,0,30,0,12,0,165,520,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1771105,181882,229956,1349096,138544,1264441,164172,682850,70.1,639562,83,589049,60.5,552910,71.8,988545,702860,79700,0,52917,516577,777978,1624,214249,322325,51951,524,214125,286373,51895,517,540934,70.1,639562,83,55.6,504846,65.5,682850,195234,99.9,170747,90.4,70115,90908,9442,282,429547,227387,937559,681853,81.2,588995,70.1,214238,322291,51942,524,1348087,160523,210894,87845,14.9,87773,15.9,77059,23.7,60172,35.2,31260,55954,627,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,36637745,170585,212420,29269365,136278,27671506,160435,14993740,69.8,14119687,81.9,12939646,60.2,12239271,71,20423145,14183700,2030900,0,1273770,10925642,16962639,107314,4550320,7114588,1243001,31737,4548537,6417802,1241432,31500,11761649,69.8,14119687,81.9,54.8,11062789,64.1,14993740,4473746,99.5,3902987,86.8,1882212,1798619,203301,18855,9894704,220013,814654,14966384,80.1,12937794,69.2,4549599,7114269,1242193,31733,29240582,156400,195965,1705266,13.2,1703455,13.9,1507772,20.9,1180241,30.2,702376,983817,16693,2380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,102480,100156,153588,78092,76321,76414,114523,47295,46.2,46152,69.2,41495,40.6,40932,61.3,9840,80440,12200,0,12192,64182,1718,0,29132,697,11665,1,29127,162,11642,1,29885,46.2,46152,69.2,29.2,29345,44,47295,3612,75.1,3350,69.6,2289,7,1054,0,6016,125021,2129680,47281,59.7,41486,52.4,29131,697,11657,1,78077,98654,129489,574,1.4,572,1.4,231,1.9,56,1.7,554,6,14,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,16464675,155072,202928,11795246,111093,11065781,136387,6108153,57.5,5690288,70.1,5179488,48.8,4867091,60,9004155,6734620,725900,0,291391,4698778,6793354,11723,2008927,2880621,286219,3721,2008062,2569761,285781,3487,4910307,57.5,5690288,70.1,46.2,4598287,56.7,6108153,1365525,90,1211512,79.9,660629,515960,33155,1768,3017019,198887,1085380,6095992,67.8,5178827,57.6,2008868,2880137,286106,3716,11782229,131087,183183,615616,11.9,614816,12.6,504649,19.6,361781,29.9,255232,355845,4329,210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,260410,154556,227345,260750,154758,234178,204444,132849,78.8,118683,99.9,121996,72.4,109663,95.7,162330,76580,21500,0,10518,82444,167744,44,37231,74870,9895,0,37217,62557,9889,0,112183,78.8,118683,99.9,66.6,99856,87.2,132849,16610,99.9,15654,97.5,6385,8732,537,0,37265,232022,1621380,132819,99.9,121983,92.9,37230,74859,9894,0,260708,198535,198308,12974,10.6,12963,11.8,9633,22.1,5250,33.5,3026,9901,47,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2689050,189922,240953,2011677,142080,1880940,168542,1128870,79.7,1047389,93.9,852101,60.2,800847,71.8,1573590,1005860,109600,0,53320,644817,1219508,94032,273573,506650,53738,18140,272964,456187,53573,18123,799577,79.7,1047389,93.9,56.5,748485,67.1,1128870,288476,99.9,235884,87.9,97015,127158,10294,1417,563169,209787,1001700,1122131,92.7,850579,70.2,273522,505226,53702,18129,2004157,165481,222032,91026,10.7,90895,11.3,71965,16.4,52618,22.3,17873,72704,449,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,4978825,157804,205039,3895495,123468,3659825,150720,1907672,60.5,1780863,73.3,1766405,56,1659526,68.3,2812485,1916940,249400,0,154214,1551461,2189416,404,680096,936564,149498,247,679901,829964,149415,246,1626917,60.5,1780863,73.3,51.6,1520114,62.6,1907672,526435,95.2,498720,90.2,261815,223010,13787,108,1232232,222845,900405,1900591,71,1766377,66,680091,936543,149496,247,3888325,145288,186035,341354,19.3,341079,20.6,284373,30.2,214105,42.9,138534,200320,2498,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2595870,145259,193886,1784909,99879,1783624,133219,888404,49.7,885837,66.2,793956,44.4,792227,59.2,1447530,1012740,135600,0,71733,717405,993266,2505,305361,417705,70275,615,305336,416029,70253,609,728134,49.7,885837,66.2,40.7,726427,54.3,888404,261309,89.9,241997,83.3,111159,119121,11455,262,593056,204031,893064,0,0,0,0,0,0,0,0,0,0,0,148313,18.7,148311,18.7,122670,27.6,91707,37.9,51860,95076,1342,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indian Health Svc,2346885,112679,N/A,1775268,85234,1626187,N/A,942405,45.2,859700,N/A,776642,37.3,710553,N/A,1158465,1095120,93300,0,34579,865248,875296,145,371416,371003,34217,6,371105,305285,34157,6,743071,45.2,859700,N/A,35.7,677037,0,942405,163184,0,133836,0,75174,55456,3205,1,328116,0,0,940374,0,776455,0,371340,370913,34196,6,1773025,0,0,81780,10.5,81598,11.5,58239,16.8,31179,23.3,28161,53276,231,112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,20181425,159262,204806,16788203,132485,15594178,158253,8442003,66.6,7809547,79.3,7742736,61.1,7176250,72.8,11671905,7494620,1014900,0,578619,6079992,10109541,20051,2694031,4470122,572020,6563,2686371,3913978,569474,6427,7215943,66.6,7809547,79.3,56.9,6651971,67.5,8442003,1917346,93.8,1770106,86.6,792609,895135,79293,3069,4266033,208788,987721,8415714,77.7,7726032,71.3,2693915,4453596,571959,6562,16744920,154505,186213,1160631,15,1159414,16.2,909886,24.6,649758,36.7,405087,746507,8631,406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana,9578780,142283,185483,7414096,110129,6981410,135187,3654788,54.3,3422859,66.3,3375048,50.1,3180399,61.6,5520840,3546740,511200,0,268882,2701375,4417971,25868,1198463,1908354,260659,7572,1198154,1714358,260400,7487,3132937,54.3,3422859,66.3,46.5,2938508,56.9,3654788,964341,88.8,921776,84.9,451628,436930,29528,3690,2244667,206740,882233,3646824,63.9,3374813,59.2,1198448,1908156,260637,7572,7406130,129817,167900,495196,14.7,494612,15.6,421771,23.3,321128,34.8,153751,336406,4755,284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
